#lon(degE) lat(degN)
66.4182 -11.5590
65.6978 -12.0185
66.3692 -12.8327
65.8205 -13.2681
66.2097 -13.7773
65.9278 -13.9791
66.4883 -14.6980
66.8882 -15.2696
67.2902 -15.8215
67.3827 -15.9419
67.0330 -16.1389
67.4105 -16.6587
66.7081 -17.0901
66.1428 -17.4501
65.5424 -17.7830
65.0073 -18.0579
65.5217 -18.8281
66.0333 -19.5775
66.4280 -20.0783
66.7513 -19.8703
67.0404 -20.2181
67.3095 -20.0725
67.5930 -20.3689
67.7679 -20.2800
67.8967 -20.4690
68.2125 -20.2907
68.5592 -20.7119
68.2768 -20.8777
68.6529 -21.4495
69.2017 -22.0877
68.7967 -22.3870
69.1621 -22.8305
69.5577 -23.3731
69.8497 -23.7087
69.4016 -24.0396
69.6804 -24.3686
69.9393 -24.6785
69.5921 -24.9701
70.0896 -25.4825
69.9595 -25.6512
nan nan
-29.7698 39.3996
-29.3350 39.3150
-29.2971 39.2554
-29.2603 39.2502
-29.1881 39.2786
-29.1472 39.2937
-29.0904 39.3232
-29.0495 39.3382
-28.9819 39.3656
-28.9505 39.3789
-28.8946 39.4120
-28.8529 39.3725
-28.7812 39.2993
-28.7454 39.2626
-28.6863 39.2144
-28.6660 39.1790
-28.6192 39.1208
-28.5665 39.1299
-28.4836 39.1558
-28.4522 39.1339
-28.4204 39.0927
-28.3955 39.0580
-28.3649 39.0204
-28.3421 38.9931
-28.2919 38.9394
-28.2155 38.9524
-28.1199 38.9685
-28.0588 38.9827
-27.9546 39.0041
-27.7933 38.9998
-27.7223 38.9416
-27.6797 38.9136
-27.6061 38.8635
-27.5588 38.8363
-27.4844 38.7824
-27.2394 38.7796
-27.2033 38.6999
-27.1743 38.6658
-27.1290 38.6070
-27.0895 38.5706
-27.0289 38.4911
-27.0068 38.4635
-26.9408 38.4003
-26.9006 38.3601
-26.8299 38.2782
-26.7180 38.4202
-26.6474 38.3576
-26.6141 38.3240
-26.5323 38.2554
-26.4943 38.2225
-26.4166 38.1493
-26.3787 38.1164
-26.3021 38.0468
-26.1714 38.0360
-26.0752 37.9655
-26.0432 37.9355
-25.9162 37.8386
-25.8081 37.8783
-25.7341 37.8159
-25.6984 37.7902
-25.6332 37.7225
-25.5384 37.8181
-25.4638 37.7517
-25.4265 37.7185
-25.3547 37.6633
-25.2671 37.7692
-25.1013 37.6463
-24.9835 37.6441
-24.9315 37.6091
-24.8915 37.5839
-24.8451 37.5519
-24.8164 37.5328
-24.7748 37.5001
-24.7332 37.4673
-24.6669 37.4110
-24.7022 37.3519
-24.7379 37.2733
-24.7495 37.2174
-24.6805 37.1267
-24.6345 37.0946
-24.5541 37.0172
-24.5002 36.9707
-24.4337 36.9105
-24.3846 36.8633
-24.3111 36.7925
-24.2554 36.7810
-24.1461 36.7885
-24.0456 36.7548
-23.5697 36.6459
-22.2160 36.7543
-20.7973 36.8809
-19.6823 37.0251
-18.6180 37.3070
-18.1244 37.4657
-17.5843 37.5034
-16.7420 37.4354
-15.8415 37.2966
-15.3865 37.2117
-15.1427 37.0206
-13.6754 37.3950
-12.1424 36.3276
-11.5854 35.8512
-10.9233 36.0984
-10.4287 36.3916
-9.9769 36.6514
-9.5452 36.4296
-8.0312 35.6675
-7.1926 35.2729
-6.7303 35.0633
-6.0637 34.7839
-6.0397 34.5174
-6.0002 34.2634
-5.8080 34.0191
-5.3966 33.9850
-5.0723 34.0783
-4.7056 34.0681
-4.0564 34.1993
-3.7819 35.0136
-3.7494 35.5962
-3.2959 35.8577
-2.8933 36.0184
-2.5729 36.1053
-1.9917 35.8985
-1.5162 35.7709
-0.7478 35.7757
0.0030 35.9040
0.6670 36.0723
1.2447 36.2823
1.9702 36.5026
2.3799 36.5942
3.4536 36.8509
5.1420 37.0821
6.8071 37.2201
8.5025 36.6907
9.9873 35.8993
12.0690 34.6730
13.7801 33.7762
14.7585 33.2635
nan nan
14.7585 33.2635
16.4597 34.9161
15.7188 36.0532
15.8165 36.8765
16.5653 37.5113
17.2612 37.6991
17.7220 38.2430
18.0303 38.6481
18.2058 39.0090
19.0971 38.6072
19.8566 38.0575
20.4917 37.3933
21.4442 36.5988
22.3389 35.8045
23.6015 35.0857
24.4663 34.6679
25.2360 34.4611
26.2287 34.3272
27.2219 34.4159
28.1314 35.0167
29.1035 35.6311
29.5944 36.0357
30.5129 36.1568
31.4471 35.5287
32.8726 34.2713
33.6542 34.3719
34.2401 34.6651
34.7607 34.8075
35.7040 34.9265
nan nan
58.2392 12.7455
56.9192 9.9708
56.9775 9.8572
57.0289 9.8575
57.2606 9.6814
57.4906 9.9416
